,ta,U,V,ws,hm,vs,pm
2016-01-06 01:00:00,-3.7,-0.3156490369471022,-0.9488760116444966,0.3,76.0,13550.0,59.0
2016-01-06 02:00:00,-5.0,0.01919744239969,-0.9998157121216444,0.7,81.0,9200.0,59.0
2016-01-06 03:00:00,-5.0,-0.8535507972753273,0.5210096318405765,0.5,81.9,11870.0,54.0
2016-01-06 04:00:00,-3.6,-0.9348256763960144,0.3551069624081372,0.3,77.2,13600.0,50.0
2016-01-06 05:00:00,-3.6,-1.8369701987210294e-16,-1.0,0.0,79.2,12980.0,50.0
2016-01-06 06:00:00,-3.5,0.7466381822853917,-0.6652303546543606,0.3,80.7,12120.0,62.0
2016-01-06 07:00:00,-2.6,-1.8369701987210294e-16,-1.0,0.0,71.8,15990.0,61.0
2016-01-06 08:00:00,-2.2,-0.8894163732912975,0.457097927058694,1.0,61.0,18360.0,64.0
2016-01-06 09:00:00,-0.9,-0.7277727576572104,0.6858183529273764,0.8,49.5,16660.0,81.0
2016-01-06 10:00:00,0.2,-0.4893824517488462,0.8720692724321205,0.3,43.0,15910.0,72.0
2016-01-06 11:00:00,1.3,0.9961946980917454,-0.0871557427476581,0.5,42.9,14550.0,75.0
2016-01-06 12:00:00,2.4,-1.8369701987210294e-16,-1.0,0.0,43.0,11570.0,61.0
2016-01-06 13:00:00,2.9,0.8660254037844386,0.4999999999999999,1.4,45.4,14870.0,67.0
2016-01-06 14:00:00,2.6,0.9650164944723116,-0.2621891786408645,1.7,51.1,16210.0,62.0
2016-01-06 15:00:00,3.0,0.688354575693754,0.7253743710122877,0.5,48.8,16740.0,55.0
2016-01-06 16:00:00,2.8,0.4555449072335158,-0.8902128046111263,2.4,52.9,13800.0,57.0
2016-01-06 17:00:00,2.4,0.8367643134589619,-0.54756322349255,1.9,54.4,14010.0,63.0
2016-01-06 18:00:00,1.9,0.6520984038303921,-0.7581343361976525,3.8,50.5,18420.0,57.0
2016-01-06 19:00:00,1.2,0.1201368388346467,-0.9927573419294454,2.7,49.9,16920.0,57.0
2016-01-06 20:00:00,-0.4,-0.050592940076713,-0.9987193571841864,1.4,57.2,14550.0,56.0
2016-01-06 21:00:00,-1.2,-0.1236014767404931,-0.9923319378854883,1.6,62.4,13370.0,60.0
2016-01-06 22:00:00,-2.3,0.0558215049931637,-0.998440764181981,1.3,66.2,12070.0,57.0
2016-01-06 23:00:00,-2.0,-0.0523359562429443,-0.9986295347545738,0.8,59.8,13530.0,60.0
2016-01-07 00:00:00,-2.9,-0.1495353434437101,-0.9887563810470056,2.0,63.3,13100.0,69.0
2016-01-07 01:00:00,-4.3,-0.1736481776669303,-0.984807753012208,1.3,70.9,9700.0,63.0
2016-01-07 02:00:00,-4.3,0.7604059656000312,-0.6494480483301835,0.7,62.2,16910.0,51.0
2016-01-07 03:00:00,-4.7,-0.4099230338415724,-0.912120116172273,0.6,70.3,17460.0,42.0
2016-01-07 04:00:00,-5.6,-0.8925858184521253,0.450877540689431,0.6,74.9,12780.0,43.0
2016-01-07 05:00:00,-6.2,-1.8369701987210294e-16,-1.0,0.0,83.1,11850.0,39.0
2016-01-07 06:00:00,-6.7,-0.8933713883278375,0.4493189986158966,0.5,85.5,10650.0,35.0
2016-01-07 07:00:00,-7.2,-1.8369701987210294e-16,-1.0,0.0,85.9,10140.0,48.0
2016-01-07 08:00:00,-6.6,0.1305261922200517,0.9914448613738104,0.2,86.6,11000.0,47.0
2016-01-07 09:00:00,-3.6,-0.9626917464264788,0.2706004459758636,0.5,74.8,13770.0,45.0
2016-01-07 10:00:00,-1.4,0.0975828997591498,-0.995227399981831,2.9,40.9,29730.0,61.0
2016-01-07 11:00:00,-0.1,0.14953534344371,-0.9887563810470058,2.8,32.2,28410.0,51.0
2016-01-07 12:00:00,0.2,-0.2198462043528372,-0.9755345439458568,2.1,29.4,28300.0,50.0
2016-01-07 13:00:00,1.0,0.0732381971276314,-0.9973144772244582,3.4,27.4,27750.0,42.0
2016-01-07 14:00:00,1.3,0.6845471059286886,-0.7289686274214118,2.6,27.6,29540.0,37.0
2016-01-07 15:00:00,0.6,0.9982398279237652,-0.0593063735759612,5.2,38.9,27110.0,29.0
