date,ta,U,V,wd,ws,hm,vs
2016-01-05 11:00:00,-0.2,0.09237058744656187,-0.995724698184582,354.7,2.3,27.2,34080.0
2016-01-05 12:00:00,0.3,0.33545156975025536,-0.9420574527872966,340.4,2.9,19.8,38180.0
2016-01-05 13:00:00,0.7,-0.135715572434305,-0.9907478404714434,7.8,4.2,22.0,34300.0
2016-01-05 14:00:00,1.5,-0.4083304603813847,-0.9128341772330427,24.1,2.0,22.5,31620.0
2016-01-05 15:00:00,1.6,0.2554457579357908,-0.9668233886044595,345.2,3.7,25.3,31050.0
2016-01-05 16:00:00,1.5,0.07149744433268641,-0.997440782930944,355.9,2.4,25.5,28240.0
2016-01-05 17:00:00,0.0,0.34857204732181496,-0.9372819894918916,339.6,2.6,29.5,26640.0
2016-01-05 18:00:00,-1.7,0.5387707850068634,-0.8424523970071474,327.4,2.3,41.5,26830.0
2016-01-05 19:00:00,-2.9,0.2605045086426487,-0.9654726308792251,344.9,2.4,51.6,24030.0
2016-01-05 20:00:00,-3.3,-0.2672383760782571,-0.9636304532086231,15.5,1.1,50.5,21760.0
2016-01-05 21:00:00,-4.4,-0.4099230338415724,-0.912120116172273,24.2,1.0,63.1,18390.0
2016-01-05 22:00:00,-3.3,-0.6959127965923143,0.7181262977631889,135.9,1.3,59.8,14270.0
2016-01-05 23:00:00,-5.1,0.9640954042341102,0.2655561174868089,254.6,0.6,68.7,15980.0
2016-01-06 00:00:00,-5.2,-1.8369701987210297e-16,-1.0,0.0,0.0,76.8,13900.0
2016-01-06 01:00:00,-3.7,-0.3156490369471022,-0.9488760116444966,18.4,0.3,76.0,13550.0
2016-01-06 02:00:00,-5.0,0.01919744239969009,-0.9998157121216443,358.9,0.7,81.0,9200.0
2016-01-06 03:00:00,-5.0,-0.8535507972753273,0.5210096318405765,121.4,0.5,81.9,11870.0
2016-01-06 04:00:00,-3.6,-0.9348256763960144,0.3551069624081372,110.8,0.3,77.2,13600.0
2016-01-06 05:00:00,-3.6,-1.8369701987210297e-16,-1.0,0.0,0.0,79.2,12980.0
2016-01-06 06:00:00,-3.5,0.7466381822853917,-0.6652303546543606,311.7,0.3,80.7,12120.0
2016-01-06 07:00:00,-2.6,-1.8369701987210297e-16,-1.0,0.0,0.0,71.8,15990.0
2016-01-06 08:00:00,-2.2,-0.8894163732912975,0.457097927058694,117.2,1.0,61.0,18360.0
2016-01-06 09:00:00,-0.9,-0.7277727576572104,0.6858183529273764,133.3,0.8,49.5,16660.0
2016-01-06 10:00:00,0.2,-0.4893824517488462,0.8720692724321205,150.7,0.3,43.0,15910.0
2016-01-06 11:00:00,1.3,0.9961946980917454,-0.08715574274765817,275.0,0.5,42.9,14550.0
2016-01-06 12:00:00,2.4,-1.8369701987210297e-16,-1.0,0.0,0.0,43.0,11570.0
2016-01-06 13:00:00,2.9,0.8660254037844386,0.4999999999999999,240.0,1.4,45.4,14870.0
2016-01-06 14:00:00,2.6,0.9650164944723115,-0.26218917864086455,285.2,1.7,51.1,16210.0
2016-01-06 15:00:00,3.0,0.688354575693754,0.7253743710122877,223.5,0.5,48.8,16740.0
2016-01-06 16:00:00,2.8,0.45554490723351587,-0.8902128046111263,332.9,2.4,52.9,13800.0
2016-01-06 17:00:00,2.4,0.8367643134589619,-0.54756322349255,303.2,1.9,54.4,14010.0
2016-01-06 18:00:00,1.9,0.6520984038303921,-0.7581343361976525,319.3,3.8,50.5,18420.0
2016-01-06 19:00:00,1.2,0.12013683883464678,-0.9927573419294454,353.1,2.7,49.9,16920.0
2016-01-06 20:00:00,-0.4,-0.050592940076713014,-0.9987193571841863,2.9,1.4,57.2,14550.0
2016-01-06 21:00:00,-1.2,-0.12360147674049317,-0.9923319378854885,7.1,1.6,62.4,13370.0
2016-01-06 22:00:00,-2.3,0.05582150499316372,-0.998440764181981,356.8,1.3,66.2,12070.0
2016-01-06 23:00:00,-2.0,-0.052335956242944306,-0.9986295347545738,3.0,0.8,59.8,13530.0
2016-01-07 00:00:00,-2.9,-0.14953534344371017,-0.9887563810470056,8.6,2.0,63.3,13100.0
2016-01-07 01:00:00,-4.3,-0.17364817766693036,-0.984807753012208,10.0,1.3,70.9,9700.0
2016-01-07 02:00:00,-4.3,0.7604059656000312,-0.6494480483301835,310.5,0.7,62.2,16910.0
2016-01-07 03:00:00,-4.7,-0.4099230338415724,-0.912120116172273,24.2,0.6,70.3,17460.0
2016-01-07 04:00:00,-5.6,-0.8925858184521253,0.45087754068943103,116.8,0.6,74.9,12780.0
2016-01-07 05:00:00,-6.2,-1.8369701987210297e-16,-1.0,0.0,0.0,83.1,11850.0
2016-01-07 06:00:00,-6.7,-0.8933713883278375,0.4493189986158966,116.7,0.5,85.5,10650.0
2016-01-07 07:00:00,-7.2,-1.8369701987210297e-16,-1.0,0.0,0.0,85.9,10140.0
2016-01-07 08:00:00,-6.6,0.1305261922200517,0.9914448613738103,187.5,0.2,86.6,11000.0
2016-01-07 09:00:00,-3.6,-0.9626917464264789,0.2706004459758636,105.7,0.5,74.8,13770.0
2016-01-07 10:00:00,-1.4,0.09758289975914988,-0.995227399981831,354.4,2.9,40.9,29730.0
2016-01-07 11:00:00,-0.1,0.14953534344371003,-0.9887563810470058,351.4,2.8,32.2,28410.0
2016-01-07 12:00:00,0.2,-0.21984620435283728,-0.9755345439458567,12.7,2.1,29.4,28300.0
2016-01-07 13:00:00,1.0,0.07323819712763141,-0.9973144772244582,355.8,3.4,27.4,27750.0
2016-01-07 14:00:00,1.3,0.6845471059286886,-0.7289686274214118,316.8,2.6,27.6,29540.0
2016-01-07 15:00:00,0.6,0.9982398279237653,-0.05930637357596123,273.4,5.2,38.9,27110.0
2016-01-07 16:00:00,0.2,0.9077774785329085,-0.4194520824461773,294.8,4.1,36.8,35560.0
2016-01-07 17:00:00,-0.6,0.8069603121438023,-0.5906056676199251,306.2,2.3,41.9,34910.0
2016-01-07 18:00:00,-1.7,0.33380685923377096,-0.9426414910921784,340.5,1.8,44.8,31580.0
2016-01-07 19:00:00,-2.2,0.700909264299851,-0.7132504491541816,315.5,1.2,50.0,31250.0
2016-01-07 20:00:00,-4.5,-0.5591929034707465,-0.829037572555042,34.0,1.1,68.6,24990.0
2016-01-07 21:00:00,-2.0,0.3090169943749475,-0.9510565162951536,342.0,2.8,51.3,30010.0
2016-01-07 22:00:00,-2.9,-0.013962180339145475,-0.9999025240093043,0.8,1.9,54.7,23090.0
2016-01-07 23:00:00,-4.2,-0.8110638189893268,-0.5849576749872154,54.2,1.0,58.6,22020.0
2016-01-08 00:00:00,-4.5,0.15643446504023092,-0.9876883405951377,351.0,0.4,61.1,26300.0
2016-01-08 01:00:00,-6.1,-1.8369701987210297e-16,-1.0,0.0,0.0,69.8,19770.0
2016-01-08 02:00:00,-6.3,-0.9812926639922452,0.1925219665259075,101.1,0.7,82.0,14060.0
2016-01-08 03:00:00,-7.3,-1.8369701987210297e-16,-1.0,0.0,0.0,85.3,14390.0
2016-01-08 04:00:00,-7.7,-0.9971851335251157,-0.0749787268263278,85.7,0.6,86.2,12890.0
2016-01-08 05:00:00,-7.8,-0.9992629164106213,-0.038387809087519646,87.8,0.5,86.0,12700.0
2016-01-08 06:00:00,-8.2,-1.8369701987210297e-16,-1.0,0.0,0.1,85.9,13120.0
2016-01-08 07:00:00,-7.8,-0.9602936856769433,-0.27899110603922894,73.8,1.1,86.5,10910.0
2016-01-08 08:00:00,-8.4,-0.8461931661275642,-0.5328762760707295,57.8,0.5,85.3,14440.0
2016-01-08 09:00:00,-5.2,-0.9985366703262119,0.05407881298477516,93.1,0.3,80.3,15710.0
2016-01-08 10:00:00,-1.9,0.6896195437356701,-0.7241718614374673,316.4,0.4,57.7,20160.0
2016-01-08 11:00:00,-0.3,0.35184164840470217,-0.9360595357389732,339.4,2.9,33.8,35520.0
2016-01-08 12:00:00,1.0,0.24868988716485435,-0.9685831611286314,345.6,2.5,24.4,31570.0
2016-01-08 13:00:00,2.2,-0.01570731731182077,-0.9998766324816608,0.9,1.7,23.4,32880.0
2016-01-08 14:00:00,2.9,-0.45554490723351554,-0.8902128046111263,27.1,2.0,23.8,28860.0
2016-01-08 15:00:00,2.0,0.29404032523230433,-0.9557930147983301,342.9,4.7,27.5,32290.0
